,imdb_id,imdb_n_comment,imdb_score,name,rating_people,score,上映日期,主演,制片国家/地区,又名,导演,片长,类型,编剧,语言,主演人数,r5,r4,r3,r2,r1
941, tt0206990,108,5.7,G4特工,1959,5.9, 1997-11-27, 张智霖 / 黄秋生 / 李若彤 / 陈法蓉 / 王敏德  / 程峰 / 张睿羚, 香港, Option Zero, 林超贤, 109 分钟, 动作, 陈庆嘉, 粤语,7,0.033,0.136,0.631,0.168,0.031
944,,,,石头剪刀布,430,5.8,, 王学兵 / 朱丹 / 海一天 / 史力嘉, 中国大陆, 勇敢爱之石头剪刀布, 刘奋斗, 26分钟, 爱情 / 悬疑 / 惊悚, 张翀, 汉语普通话,4,0.078,0.169,0.429,0.229,0.095
947, tt1997281,,,B区32号,5331,2.3, 2011-06-03(中国大陆), 邓紫衣 / 唐宸禹 / 李锐, 中国大陆," No. 32, B District", 吕建民, 89分钟, 剧情 / 惊悚 / 恐怖, 张二, 汉语普通话,3,0.021,0.004,0.011,0.045,0.918
948, tt2011257,,,夏日恋神马 戀夏戀夏戀戀下,3421,4, 2011-11-04(中国大陆), 方力申 / 江若琳 / 敖犬 / 张馨予, 香港, 夏日恋一恋 / 恋夏恋恋夏 / 恋夏恋夏恋恋夏 / Summer Love, 钱国伟, 100分钟, 剧情 / 喜剧 / 爱情,, 粤语 / 汉语普通话,4,0.009,0.031,0.236,0.385,0.34
949, tt0114965,54,6.8,我的美丽与哀愁 我的美麗與哀愁,1336,6.7, 1995-09-14, 刘若英 / 张本瑜 / 天心 / 潘丽丽 / 纪蔚然 / 徐天祥, 台湾, The Peony Pavilion, 陈国富,, 剧情 / 奇幻, 陈世杰 / 陈国富, 汉语普通话 / 台语,6,0.092,0.302,0.494,0.106,0.005
951, tt2473416,,,堵车,1595,2.7, 2011-10-14(中国大陆), 吴镇宇 / 倪大红 / 吕丽萍 / 孙海英 / 陈志朋 / 吴俊余 / 葛思然 / 巴哈古丽, 中国大陆, Love Never Dies, 阿年, 87分钟, 喜剧 / 动作,, 汉语普通话,8,0.022,0.017,0.045,0.138,0.779
952, tt2192094,0,-1,这一刻，爱吧！ 這一刻，愛吧！,2749,6.8, 2012-04-09, 陈柏霖 / 邵庭 / 吴慷仁 / 余函弥 / 魏隽展 / 邱木翰 / 杨朵立, 台湾, Dive In, 陈奕先, 36分钟, 短片, 安竹间, 汉语普通话,7,0.112,0.289,0.494,0.086,0.018
953, tt0093229,871,6.7,皇家师姐,928,6.4, 1985-11-30, 杨紫琼 / 罗芙洛 / 岑建勋 / 孟海 / 徐克 / 洪金宝 / 吴耀汉 / 楼南光 / 午马, 香港," Yes, Madam! / In the Line of Duty 2 / Police Assassins", 元奎,, 动作, 黄炳耀, 粤语,9,0.054,0.214,0.64,0.078,0.013
954,,,,性福来了,438,5.6, 2012-6, 波多野结衣 / 琥珀歌 / 大泽佑香 / 原田明绘 / 横山美雪, 中国大陆, Sex Happiness, 张艺馨 / 林家亿, 28分钟, 纪录片 / 短片 / 情色, 张艺馨, 汉语普通话,5,0.056,0.083,0.528,0.25,0.083
955,,,,未尽之路 未盡之路,305,8.9,, 魏德圣, 台湾, 《赛德克·巴莱》幕后全记录, 王燕妮, 140分钟, 纪录片,, 汉语普通话,1,0.596,0.296,0.096,0.009,0.004
956, tt1935855,,,潮性办公室,5950,4.6, 2011-06-09, 詹瑞文 / 吕慧仪 / 沈志明 / 杨诗敏 / 翟凯泰 / 陈静, 香港, microsex office, 詹瑞文 / 李公乐, 88分钟, 剧情 / 喜剧, 严嘉仪, 粤语,6,0.021,0.074,0.319,0.354,0.232
