,community,lng,lat,rent_area,sell_area,sell_rent
0,VIP大厦,121.53221630000002,31.24693939000001,91.95001689988061,75933.0,825.8073522996666
1,一品名人居,121.45345999999999,31.241146000000004,110.92960681557476,82699.0,745.5088174745867
2,一品新筑苑,121.47782099999996,31.308434999999992,74.71997355841043,73413.81818181818,982.5193276390656
3,一品漫城(一期)(公寓),121.50143100000005,31.123421999999994,119.86979037039123,59565.137931034486,496.9153424476793
4,一品漫城(一期)(别墅),121.500957,31.122432,70.51885852573835,62391.666666666664,884.7515114541256
5,一品漫城(三期),121.49767399999998,31.121584999999985,125.97478611418263,59123.5,469.3280443152401
6,一品漫城(二期),121.50095699999999,31.12207799999999,93.86874566959084,62263.86666666667,663.3077519308677
7,一品漫城(五期),121.49804300000002,31.120196200000002,95.91998324256387,63258.0,659.4871877743373
8,一品漫城(四期)(公寓),121.494715,31.119846000000006,91.17082958283312,61815.416666666664,678.0174859602913
9,一品漫城四期,121.498073,31.119760999999997,54.274084124830395,75033.0,1382.483025
10,一品漫城（一期）（公寓）,121.50143099999988,31.12342199999995,72.74454370434836,66304.27272727272,911.4672984512697
11,一品漫城（一期）（别墅）,121.50095699999999,31.122432,70.74414673025673,85026.5,1201.8874200886335
12,一品漫城（三期）,121.49767399999998,31.121584999999985,99.73422941082248,56017.0,561.6627343582946
13,一品漫城（二期）,121.50095700000013,31.12207800000003,94.58720398305324,54927.8,580.7106848178023
14,一品漫城（四期）（公寓）,121.49471499999991,31.119846000000027,85.05826796580178,60470.8,710.9338274359487
15,丁家弄小区,121.46182699999999,31.218232,176.95995739726385,102387.66666666667,578.5922881797088
16,丁香公寓,121.44512500000009,31.219203999999998,144.1522694372523,111906.2,776.3055027635994
17,丁香大楼,121.44472399999997,31.219411999999995,148.9394371437006,99702.75,669.418066242618
18,七浦公寓,121.481594,31.250245,75.34268666344138,64385.5,854.5686761558219
19,七韵美地苑,121.36179040000013,31.173165629999943,93.924806184102,61623.09090909091,656.0896254425429
20,万业梦立方,121.26226840000065,31.123530269999904,79.15473933896696,42213.0,533.2971891832007
21,万业紫辰苑,121.44825999999928,31.404801999999673,75.90128686993943,42363.0,558.1328294550667
22,万东小区,121.48792720000004,31.30803111,96.67428600299358,62404.2,645.5098101067704
23,万东第二小区,121.48926759999999,31.30828164,92.91430567898192,58077.0,625.0598287916557
24,万丰别墅,121.691703,31.20346616,72.36842105263158,71938.0,994.0523636363637
25,万临家园,121.4963789,31.348422979999995,113.63998163725756,53335.375,469.33635707763676
26,万佳苑,121.54424909999996,31.301459949999998,69.66185789128667,66365.5294117647,952.6810139823406
27,万兆家园,121.3572437466667,31.155671834666684,94.82077909784249,59713.375,629.7498878213572
28,万兆家园(一期),121.35769900000001,31.15462400000001,150.9540914934269,55758.78125,369.37575323970566
29,万兆家园(三期),121.35581950000001,31.15854781666667,139.87574996059735,55159.0,394.3428365212566
30,万兆家园(二期)(公寓),121.356167,31.156961000000003,142.67247429196436,67637.0,474.0718231436004
31,万兆家园(五期),121.35545791999998,31.159909833,119.2330748572947,60834.333333333336,510.21357459868847
32,万兆家园(四期),121.358046,31.155645,65.38461538461539,62187.166666666664,951.0978431372548
33,万兆家园（一期）,121.35770396000005,31.155648561624965,118.09358699737928,60677.444444444445,513.8081244478669
34,万兆家园（三期）,121.35599180000004,31.15855338000001,161.39351477743665,59649.0,369.5873411162561
35,万兆家园（五期）,121.35539859999997,31.16006055000001,106.26643135129495,60732.0,571.5069117097995
36,万千公寓,121.4379659,31.262709129999998,75.73486675603938,62259.25,822.0685222904312
37,万华小区,121.42598,31.230888000000018,129.66891906730083,76215.92307692308,587.7732584272214
38,万博家园,121.33611699999993,31.234518999999988,58.07671090137899,44023.318181818184,758.0201684729512
39,万博欣园,121.34079059999999,31.23320963999999,58.9318957513869,43182.7,732.7559965518968
40,万宇漓水花苑,121.3462094,31.099198149999996,37.50116366421063,42161.666666666664,1124.2762236443293
41,万宇阳光苑,121.32232089999995,31.06814186000001,41.49618635492559,33270.72727272727,801.7779510665332
42,万安路346弄,121.4908483,31.30783173,89.49505135342963,59388.333333333336,663.5934885248541
43,万安路374号,121.48990459999999,31.30749115,99.79458638607663,56978.0,570.9528148106998
44,万安路376号,121.48976200000001,31.30747715,99.49741090466037,63966.0,642.8911005663555
45,万安路979弄,121.4791529,31.307109149999995,69.06588908824071,56662.6,820.4136766791797
46,万宜坊,121.477628,31.22031233333333,174.67297147415653,124247.75,711.3164043149222
47,万寿新村(青浦),121.11756400000009,31.16526400000004,35.575619515943494,32166.527472527472,904.1733611444712
48,万寿新村（青浦）,121.1175640000001,31.165264000000064,34.55199487758489,33270.117647058825,962.9000515001331
49,万寿路57弄,121.1153478,31.160854940000004,34.09650723508205,31549.166666666668,925.290278243092
50,万峰嘉苑,121.48484499999998,31.304093999999996,99.7507279154729,58481.0,586.2714109671042
51,万峰小区,121.4798219999999,31.309404999999977,63.10823686015631,53223.0625,843.361582386445
52,万峰梦湖苑,121.46789099999995,31.28826899999999,109.09639767262846,71172.93103448275,652.3857116534248
53,万康家园,121.47516230000012,31.306971879999995,77.34295507693884,54207.35294117647,700.8699484943696
54,万昇家园,121.43457429999998,31.412462580000007,42.45771172372331,48667.333333333336,1146.254269424991
55,万春小区,121.44431609999994,31.234854920000018,137.66065339930907,113379.18181818182,823.6135672646087
56,万春苑,121.22858500000002,30.794339,17.822751322751323,14613.666666666666,819.944485676117
57,万景园,121.37832489999992,31.24316015999999,82.97002888741956,62140.13333333333,748.9467482004868
