投资方所在城市,融资方所在城市,阵营,投资企业对数,经度,纬度
北京,上海,1,1890,121.404084553,31.0844617511
上海,北京,1,1303,116.409349256,40.1841180253
北京,深圳,1,1106,113.981097454,22.6612174267
北京,天津,1,923,117.332394543,39.3085542563
上海,苏州,1,513,120.64180324,31.3759706021
北京,成都,1,433,103.501067544,30.5086877776
上海,杭州,1,415,119.484701009,29.9049798065
深圳,广州,1,351,113.535309762,23.3572458759
北京,宁波,1,308,121.462283516,29.7195882339
上海,嘉兴,1,272,120.753919978,30.654868568
北京,武汉,1,262,114.338092289,30.6256542221
北京,南京,1,254,118.842463658,31.9287592963
上海,无锡,1,223,120.351629529,31.6615440474
北京,石家庄,1,209,114.44284612,38.1289585008
北京,郑州,1,194,113.471850802,34.6263627848
杭州,湖州,0,189,119.871227322,30.74619674
杭州,绍兴,0,187,120.628874142,29.7126723592
北京,沈阳,1,163,123.136692183,42.093659482
北京,青岛,1,162,120.143935648,36.456032729
上海,南通,1,157,120.996756876,32.1893721211
北京,廊坊,1,154,116.535844506,39.1117554763
深圳,东莞,1,145,113.877717876,22.9852478082
北京,合肥,1,144,117.286266302,31.9771580754
北京,重庆,1,134,107.864385258,30.0553736852
北京,拉萨,1,132,91.1028799309,30.0334521208
深圳,惠州,1,125,114.497757221,23.2450284889
北京,太原,1,124,112.314062259,37.9595409573
北京,济南,1,120,117.08325858,36.7325316169
北京,保定,1,119,115.168613586,39.0222939691
北京,哈尔滨,1,114,127.962992428,45.6369913133
北京,西安,1,114,108.789503511,34.1107819802
合肥,芜湖,0,103,118.326617536,31.0667366723
深圳,长沙,1,102,113.152959363,28.2295131059
广州,佛山,0,98,112.94508169,23.0127749858
北京,唐山,1,91,118.340532724,39.7358857445
北京,乌鲁木齐,1,90,87.8094631006,43.5313046469
武汉,黄石,0,87,115.022554449,29.9281364887
北京,厦门,1,86,118.110687591,24.6830448658
北京,呼和浩特,1,85,111.399370918,40.5810079565
上海,盐城,1,81,120.175286224,33.5153555609
上海,温州,1,79,120.010122334,27.6625993395
厦门,漳州,0,77,117.441200797,24.3831962252
北京,常州,1,76,119.679057019,31.6925543935
太原,晋中,0,73,112.961855815,37.3279302446
杭州,新余,0,68,114.851202951,27.8472307759
武汉,黄冈,0,67,115.34896726,30.7182656835
北京,张家口,1,66,115.02997891,40.8611481583
广州,珠海,0,65,113.251442783,22.1619886251
北京,长春,1,64,125.766739888,44.3768728237
乌鲁木齐,昌吉回族自治州,0,63,,
北京,海口,1,62,110.425851879,19.8310955934
北京,潍坊,1,62,119.075691601,36.536594451
杭州,金华,0,61,119.954268808,29.1164535388
深圳,吉林,1,60,126.841290435,43.5774601864
北京,烟台,1,60,120.805459739,37.2364773878
上海,镇江,1,59,119.481985492,32.0667749698
北京,昆明,1,57,102.875102299,25.3852977816
武汉,孝感,0,56,113.879115408,31.1191958665
成都,德阳,0,56,104.430667514,31.1339756257
北京,承德,1,55,117.551042014,41.340428396
深圳,南昌,1,54,116.024443256,28.6633621609
太原,吕梁,0,53,111.262529043,37.6767890314
北京,银川,1,50,106.341244948,38.2192835973
武汉,宜昌,0,50,111.136025443,30.7482684559
成都,绵阳,0,50,104.705358137,31.8468625936
厦门,泉州,0,49,118.255654583,25.211170451
西安,咸阳,0,47,108.4494129,34.8272305748
上海,扬州,1,47,119.471409838,32.7375896346
杭州,台州,0,46,121.089649417,28.7920082915
上海,台州,1,46,121.089649417,28.7920082915
深圳,南宁,1,46,108.464015667,23.0584134307
贵阳,六盘水,0,45,104.651762927,25.8547514439
北京,大连,1,45,122.219575666,39.6124317573
南京,喀什地区,0,43,,
银川,吴忠,0,43,107.056492602,37.6284503763
北京,福州,1,42,119.156889973,26.0641963059
乌鲁木齐,伊犁哈萨克自治州,0,42,,
合肥,六安,0,41,116.312145694,31.7560590375
北京,贵阳,1,41,106.707306335,26.8429934259
北京,邯郸,1,40,114.54555308,36.5509236328
北京,九江,1,39,115.437787326,29.3279801382
南宁,百色,0,39,107.035772771,23.6614884391
北京,兰州,1,39,103.638543494,36.3489055767
合肥,池州,0,39,117.366095049,30.2838388703
合肥,阜阳,0,38,115.701807911,32.9158627496
北京,包头,1,38,110.218042216,41.6418500189
乌鲁木齐,哈密地区,0,37,,
武汉,荆州,0,36,112.655927602,29.8484798317
南宁,玉林,0,36,110.182564447,22.4428700016
成都,眉山,0,36,103.641301199,30.0619304809
北京,营口,1,35,122.487313407,40.3597557385
北京,威海,1,34,121.982230785,37.1191305819
北京,三亚,1,34,109.417993438,18.3920682395
上海,泰州,1,34,120.05755184,32.295852384
南宁,防城港,0,33,108.002509665,21.8822387144
武汉,襄阳,0,33,111.93766036,31.9344507749
石家庄,邢台,0,32,114.819197893,37.2116829999
杭州,舟山,0,32,122.13917249,30.0553941995
南京,淮安,0,32,118.961844937,33.3561516982
杭州,衢州,0,31,118.677516799,28.9340789716
郑州,洛阳,0,31,112.02422841,34.2862770095
深圳,赣州,1,31,115.270276386,25.7067696556
合肥,宿州,0,31,117.212164673,33.859664667
贵阳,黔南布依族苗族自治州,0,31,,
成都,南充,0,30,106.20434408,31.1959423625
太原,长治,0,30,112.916015096,36.4761566955
北京,鹰潭,1,29,117.10685019,28.2253820103
西安,铜川,0,29,109.175338575,35.2981214087
福州,三明,0,29,117.397600532,26.2993359511
太原,运城,0,28,111.086591024,35.1949340498
乌鲁木齐,塔城地区,0,28,,
济南,济宁,0,28,116.67539172,35.3785473334
兰州,定西,0,28,104.450809433,35.1188717502
南宁,柳州,0,28,109.379696501,24.9370611389
长沙,衡阳,0,28,112.573420211,26.7925301314
太原,临汾,0,27,111.374331297,36.2353877293
西安,渭南,0,27,109.856936314,34.9518234916
贵阳,遵义,0,27,107.086352088,28.1676619107
长沙,岳阳,0,27,113.255373328,29.06454046
北京,锡林郭勒盟,1,26,,
长沙,郴州,0,26,113.134839925,25.8116998935
武汉,鄂州,0,26,114.805508857,30.44902039
北京,十堰,1,26,110.44027763,32.4581748245
郑州,开封,0,26,114.534456752,34.6086381576
南昌,抚州,0,26,116.433348614,27.5092972994
杭州,丽水,0,25,119.510527575,28.1982961548
长沙,株洲,0,25,113.519552948,27.1163929922
郑州,新乡,0,24,114.092211697,35.2670772631
哈尔滨,齐齐哈尔,0,24,124.533878694,47.6967626516
成都,资阳,0,24,104.953340591,30.1802755486
济南,聊城,0,24,115.881984089,36.4580882571
深圳,清远,1,24,112.875910188,24.3114647761
成都,宜宾,0,24,104.635831189,28.5712774941
郑州,安阳,0,24,114.636913626,35.4832428865
兰州,酒泉,0,23,96.2255513305,40.4581809561
上海,中山,1,23,113.389491138,22.5221140275
北京,沧州,1,23,116.752696412,38.2657656361
济南,德州,0,23,116.64541331,37.244336402
上海,徐州,1,22,117.480705662,34.2587766939
南京,徐州,0,22,117.480705662,34.2587766939
合肥,滁州,0,22,118.098885241,32.5449846607
南京,连云港,0,22,119.131887634,34.5329086065
武汉,荆门,0,22,112.609230363,31.0710770674
兰州,陇南,0,22,105.209135288,33.5938826196
合肥,马鞍山,0,21,118.613763467,31.5323778572
深圳,萍乡,1,21,113.900285648,27.5155162634
南昌,上饶,0,21,117.9497646,28.7600838811
北京,呼伦贝尔,1,21,121.178173784,49.6519523509
哈尔滨,佳木斯,0,21,132.200214943,47.255087237
兰州,白银,0,21,105.025181453,36.2452049344
长沙,常德,0,21,111.523850854,29.2974406323
哈尔滨,绥化,0,21,126.616087847,46.890019373
南宁,桂林,0,21,110.511766561,25.3519452869
南宁,崇左,0,20,107.275593841,22.5025039596
成都,达州,0,20,107.64272373,31.3639402446
成都,遂宁,0,20,105.470484465,30.6311127344
合肥,亳州,0,19,116.182133908,33.4325380314
成都,泸州,0,19,105.462113801,28.5508654308
乌鲁木齐,巴音郭楞蒙古自治州,0,19,,
南昌,宜春,0,19,115.061146398,28.5700976185
广州,江门,0,19,112.667787985,22.2980836353
郑州,平顶山,0,18,113.014207438,33.7968717013
合肥,蚌埠,0,18,117.327663746,33.1119871271
太原,大同,0,18,113.719411,39.9017848222
成都,乐山,0,18,103.532404151,29.1782825258
深圳,信阳,1,17,114.883648525,32.0816602932
长沙,怀化,0,17,110.069225757,27.5427297621
郑州,周口,0,17,114.878292807,33.724344276
成都,凉山彝族自治州,0,17,,
深圳,河源,1,17,114.957578127,24.041916141
北京,鄂尔多斯,1,17,108.618593771,39.4092533576
包头,鄂尔多斯,0,17,108.618593771,39.4092533576
沈阳,盘锦,0,17,121.99780925,41.082524232
长春,通化,0,17,125.948225432,41.9508001253
南宁,贵港,0,17,109.998175606,23.3100315884
福州,南平,0,17,118.143817602,27.3394707962
北京,秦皇岛,1,17,119.183889469,40.0884882838
武汉,咸宁,0,17,114.174914704,29.6259158262
广州,湛江,0,16,110.303801914,20.4640326399
南昌,吉安,0,16,114.822849138,26.9730002281
北京,宿迁,1,16,118.518044118,33.7845818342
兰州,甘南藏族自治州,0,16,,
兰州,临夏回族自治州,0,16,,
郑州,商丘,0,16,115.699500504,34.2909714488
郑州,许昌,0,16,113.709213472,34.0727649921
哈尔滨,大庆,0,16,124.317028033,46.527882805
南宁,钦州,0,15,109.024507902,22.1833012192
郑州,焦作,0,15,113.117443123,35.1061306585
兰州,武威,0,15,103.051345519,38.1690833868
乌鲁木齐,阿勒泰地区,0,15,,
南宁,河池,0,15,107.840098932,24.6445183862
成都,甘孜藏族自治州,0,15,,
合肥,宣城,0,15,118.856128319,30.690931106
昆明,大理白族自治州,0,15,,
武汉,恩施土家族苗族自治州,0,15,,
北京,淄博,1,15,118.010500338,36.5914699701
成都,巴中,0,15,107.038188833,32.0155969603
长沙,邵阳,0,15,110.915650898,26.8726168321
太原,忻州,0,15,112.43027139,38.6914375116
郑州,南阳,0,14,112.286515719,33.0462533589
济南,临沂,0,14,118.279789444,35.3092645187
南宁,梧州,0,14,110.97337166,23.2002931144
北京,三门峡,1,14,110.760616888,34.2297321142
兰州,庆阳,0,14,107.594395318,36.1647995305
北京,山南地区,1,14,,
成都,广元,0,14,105.77965861,32.2606905652
北京,鞍山,1,13,123.311254248,40.4244897423
西安,延安,0,13,109.320505828,36.4376585567
银川,石嘴山,0,13,106.517788673,38.9755007252
长沙,湘潭,0,13,112.530368577,27.7049103307
贵阳,铜仁,0,13,108.544584764,27.9687206563
贵阳,铜仁,0,13,108.544584764,27.9687206563
广州,肇庆,0,13,112.202555079,23.5397260823
安庆,铜陵,0,12,117.89438707,30.9448598202
厦门,龙岩,0,12,116.739194013,25.2920661556
长沙,娄底,0,12,111.208381843,27.8588837544
呼和浩特,巴彦淖尔,0,12,107.564661657,41.5878397003
呼和浩特,赤峰,0,12,118.904959124,43.1947341885
长沙,永州,0,12,111.769541227,25.6908733976
北京,白山,1,12,127.285610012,42.0676635125
太原,晋城,0,12,112.705075962,35.6106981578
潍坊,枣庄,0,12,117.310288282,35.0325600892
长春,白城,0,12,123.010020734,45.3426110899
沈阳,铁岭,0,11,124.172161855,42.6409023987
深圳,三沙,1,11,,
兰州,张掖,0,11,99.90171985,38.9235853398
兰州,天水,0,10,105.740149962,34.6504716072
昆明,曲靖,0,10,103.93895161,25.7013209994
北京,菏泽,1,10,115.689680141,35.1533992642
合肥,淮南,0,10,116.733045967,32.7568698018
成都,阿坝藏族羌族自治州,0,10,,
长春,四平,0,10,124.473024459,43.5691446169
乌鲁木齐,阿克苏地区,0,10,,
合肥,安庆,0,9,116.594268791,30.6106751261
呼和浩特,通辽,0,9,121.577319554,43.8189888688
昆明,普洱,0,9,100.718373036,23.1859171903
福州,宁德,0,9,119.525337183,27.1525886371
北京,泰安,1,9,117.035710843,36.0009861365
济南,泰安,0,9,117.035710843,36.0009861365
郑州,驻马店,0,9,114.148797271,32.9243766426
济南,滨州,0,9,117.864583632,37.575764401
贵阳,黔西南布依族苗族自治州,0,9,,
大连,丹东,0,9,124.406588969,40.5485906661
哈尔滨,牡丹江,0,9,129.889484361,44.5926621777
北京,日照,1,8,119.134088275,35.5841759127
南宁,贺州,0,8,111.360036634,24.3588162268
石家庄,衡水,0,8,115.852176753,37.6362650134
合肥,淮北,0,8,116.694557639,33.7492103836
深圳,韶关,1,8,113.772863358,24.8175018307
长沙,益阳,0,8,111.808649049,28.3334333691
西宁,海西蒙古族藏族自治州,0,8,,
长沙,张家界,0,8,110.5299907,29.3920468287
长春,延边朝鲜族自治州,0,8,,
贵阳,毕节,0,8,105.210244633,27.0684334498
贵阳,毕节,0,8,105.210244633,27.0684334498
武汉,随州,0,7,113.424642017,31.829691489
北京,乌兰察布,1,7,112.459882056,41.6808643781
北京,西宁,1,7,101.451113542,36.8142937624
中山,潮州,0,7,116.768450527,23.7984986229
西安,商洛,0,6,109.898496199,33.6490876037
金华,黔东南苗族侗族自治州,0,6,,
成都,攀枝花,0,6,101.731413397,26.8061938317
西安,汉中,0,6,107.104140807,33.0889083557
西安,榆林,0,6,109.553991328,38.0379812098
深圳,梅州,1,6,116.07866931,24.2018151873
兰州,金昌,0,5,102.050096504,38.4269271785
兰州,平凉,0,5,107.22848716,35.2044904905
武汉,平凉,0,5,107.22848716,35.2044904905
深圳,固原,1,5,106.182674483,35.9493871692
北京,抚顺,1,5,124.653898593,41.8327974774
广州,抚顺,0,5,124.653898593,41.8327974774
沈阳,抚顺,0,5,124.653898593,41.8327974774
西安,宝鸡,0,5,107.201963817,34.3783133934
北京,中卫,1,5,105.706395331,36.5693450516
银川,中卫,0,5,105.706395331,36.5693450516
北京,东营,1,5,118.615798406,37.6303322383
上海,东营,1,5,118.615798406,37.6303322383
北京,莱芜,1,5,117.651838532,36.2867074983
中山,阳江,0,5,111.774204951,22.0383015818
成都,自贡,0,5,104.961213664,29.2217954232
沈阳,本溪,0,5,124.077613678,41.1907857988
郑州,鹤壁,0,5,114.354192817,35.6449079221
齐齐哈尔,黑河,0,5,126.996351701,49.2530986124
北京,松原,1,4,124.475153872,44.8001982261
长春,松原,0,4,124.475153872,44.8001982261
北京,景德镇,1,4,117.269337981,29.3071248951
北京,汕头,1,4,116.555530272,23.330681385
上海,莆田,1,4,118.879674516,25.4571400714
北京,阜新,1,4,121.959474454,42.2856981048
上海,云浮,1,4,111.791609466,22.8645994249
中山,云浮,0,4,111.791609466,22.8645994249
河源,云浮,0,4,111.791609466,22.8645994249
北京,阳泉,1,4,113.501902518,38.0619533743
重庆,广安,0,4,106.663515367,30.4249383604
乌鲁木齐,博尔塔拉蒙古自治州,0,4,,
乌海,阿拉善盟,0,4,102.484793321,40.4997342418
贵阳,安顺,0,4,105.951365814,25.9956824501
郑州,濮阳,0,4,115.186179744,35.818149697
长春,辽源,0,4,125.304836751,42.8097338625
西宁,海东地区,0,4,,
锦州,葫芦岛,0,4,120.192864003,40.6261741141
沈阳,葫芦岛,0,4,120.192864003,40.6261741141
深圳,汕尾,1,4,115.532047982,23.015488473
太原,朔州,0,4,112.731072685,39.4515425822
无锡,克孜勒苏柯尔克孜自治州,0,4,,
昆明,西双版纳傣族自治州,0,4,,
昆明,红河哈尼族彝族自治州,0,4,,
昆明,楚雄彝族自治州,0,4,,
昆明,玉溪,0,4,102.678676868,24.2272276938
成都,内江,0,4,104.907948563,29.6411079391
沈阳,锦州,0,4,122.1276071,41.7056938843
成都,雅安,0,4,102.661567069,29.9136424572
合肥,黄山,0,4,118.077165369,29.9060894539
哈尔滨,七台河,0,4,130.862744666,45.8972784732
南宁,来宾,0,4,109.427327974,23.6420750123
哈尔滨,鹤岗,0,4,130.31505392,47.7601194496
哈尔滨,鸡西,0,4,132.302426461,45.5431717643
