投资方所在城市,融资方所在城市,阵营,投资企业对数,经度,纬度
北京,上海,1,738,121.404084553,31.0844617511
北京,深圳,1,580,113.981097454,22.6612174267
上海,北京,1,468,116.409349256,40.1841180253
北京,天津,1,468,117.332394543,39.3085542563
上海,苏州,1,227,120.64180324,31.3759706021
上海,杭州,1,204,119.484701009,29.9049798065
北京,成都,1,202,103.501067544,30.5086877776
上海,宁波,1,179,121.462283516,29.7195882339
深圳,广州,1,168,113.535309762,23.3572458759
北京,南京,1,143,118.842463658,31.9287592963
上海,嘉兴,1,133,120.753919978,30.654868568
北京,沈阳,1,119,123.136692183,42.093659482
杭州,湖州,0,106,119.871227322,30.74619674
北京,武汉,1,100,114.338092289,30.6256542221
北京,廊坊,1,85,116.535844506,39.1117554763
杭州,绍兴,0,84,120.628874142,29.7126723592
北京,重庆,1,81,107.864385258,30.0553736852
上海,无锡,1,80,120.351629529,31.6615440474
北京,乌鲁木齐,1,78,87.8094631006,43.5313046469
广州,佛山,0,75,112.94508169,23.0127749858
合肥,芜湖,0,75,118.326617536,31.0667366723
北京,三亚,1,73,109.417993438,18.3920682395
上海,南通,1,72,120.996756876,32.1893721211
深圳,惠州,1,72,114.497757221,23.2450284889
北京,青岛,1,70,120.143935648,36.456032729
北京,石家庄,1,63,114.44284612,38.1289585008
北京,九江,1,58,115.437787326,29.3279801382
杭州,新余,0,57,114.851202951,27.8472307759
深圳,东莞,1,55,113.877717876,22.9852478082
广州,珠海,0,55,113.251442783,22.1619886251
武汉,黄石,0,55,115.022554449,29.9281364887
厦门,漳州,0,49,117.441200797,24.3831962252
上海,合肥,1,48,117.286266302,31.9771580754
厦门,泉州,0,46,118.255654583,25.211170451
北京,西安,1,45,108.789503511,34.1107819802
北京,烟台,1,43,120.805459739,37.2364773878
北京,济南,1,43,117.08325858,36.7325316169
深圳,南宁,1,42,108.464015667,23.0584134307
乌鲁木齐,昌吉回族自治州,0,42,,
北京,哈尔滨,1,41,127.962992428,45.6369913133
武汉,恩施土家族苗族自治州,0,41,,
成都,德阳,0,39,104.430667514,31.1339756257
武汉,黄冈,0,39,115.34896726,30.7182656835
北京,长沙,1,38,113.152959363,28.2295131059
杭州,金华,0,38,119.954268808,29.1164535388
北京,郑州,1,38,113.471850802,34.6263627848
乌鲁木齐,伊犁哈萨克自治州,0,36,,
北京,厦门,1,35,118.110687591,24.6830448658
成都,眉山,0,34,103.641301199,30.0619304809
北京,鹰潭,1,33,117.10685019,28.2253820103
北京,保定,1,31,115.168613586,39.0222939691
合肥,池州,0,30,117.366095049,30.2838388703
南宁,来宾,0,30,109.427327974,23.6420750123
郑州,洛阳,0,30,112.02422841,34.2862770095
深圳,萍乡,1,30,113.900285648,27.5155162634
上海,温州,1,29,120.010122334,27.6625993395
北京,温州,1,29,120.010122334,27.6625993395
银川,吴忠,0,29,107.056492602,37.6284503763
南京,镇江,0,28,119.481985492,32.0667749698
北京,宿迁,1,27,118.518044118,33.7845818342
武汉,宜昌,0,26,111.136025443,30.7482684559
武汉,孝感,0,26,113.879115408,31.1191958665
合肥,六安,0,26,116.312145694,31.7560590375
北京,吉林,1,26,126.841290435,43.5774601864
南宁,柳州,0,26,109.379696501,24.9370611389
南京,淮安,0,26,118.961844937,33.3561516982
深圳,信阳,1,25,114.883648525,32.0816602932
北京,昆明,1,24,102.875102299,25.3852977816
西安,咸阳,0,24,108.4494129,34.8272305748
乌鲁木齐,喀什地区,0,24,,
北京,拉萨,1,24,91.1028799309,30.0334521208
杭州,台州,0,23,121.089649417,28.7920082915
北京,沧州,1,23,116.752696412,38.2657656361
北京,唐山,1,23,118.340532724,39.7358857445
福州,宁德,0,22,119.525337183,27.1525886371
北京,银川,1,21,106.341244948,38.2192835973
乌鲁木齐,哈密地区,0,21,,
成都,南充,0,20,106.20434408,31.1959423625
乌鲁木齐,巴音郭楞蒙古自治州,0,20,,
北京,邯郸,1,20,114.54555308,36.5509236328
上海,常州,1,20,119.679057019,31.6925543935
北京,呼和浩特,1,19,111.399370918,40.5810079565
武汉,荆州,0,19,112.655927602,29.8484798317
北京,太原,1,19,112.314062259,37.9595409573
南宁,玉林,0,19,110.182564447,22.4428700016
上海,宜春,1,18,115.061146398,28.5700976185
北京,大连,1,18,122.219575666,39.6124317573
北京,长春,1,18,125.766739888,44.3768728237
上海,南昌,1,18,116.024443256,28.6633621609
南宁,钦州,0,17,109.024507902,22.1833012192
沈阳,铁岭,0,16,124.172161855,42.6409023987
北京,济宁,1,16,116.67539172,35.3785473334
武汉,咸宁,0,16,114.174914704,29.6259158262
成都,广元,0,16,105.77965861,32.2606905652
北京,张家口,1,16,115.02997891,40.8611481583
南宁,百色,0,16,107.035772771,23.6614884391
合肥,滁州,0,15,118.098885241,32.5449846607
北京,兰州,1,15,103.638543494,36.3489055767
武汉,十堰,0,15,110.44027763,32.4581748245
南宁,崇左,0,14,107.275593841,22.5025039596
北京,赣州,1,14,115.270276386,25.7067696556
长沙,常德,0,14,111.523850854,29.2974406323
十堰,襄阳,0,14,111.93766036,31.9344507749
南京,盐城,0,14,120.175286224,33.5153555609
武汉,荆门,0,13,112.609230363,31.0710770674
郑州,开封,0,13,114.534456752,34.6086381576
南京,徐州,0,13,117.480705662,34.2587766939
北京,潍坊,1,13,119.075691601,36.536594451
成都,乐山,0,13,103.532404151,29.1782825258
福州,南平,0,13,118.143817602,27.3394707962
郑州,焦作,0,12,113.117443123,35.1061306585
北京,邢台,1,12,114.819197893,37.2116829999
成都,宜宾,0,12,104.635831189,28.5712774941
北京,阳泉,1,12,113.501902518,38.0619533743
成都,绵阳,0,12,104.705358137,31.8468625936
潍坊,聊城,0,12,115.881984089,36.4580882571
武汉,鄂州,0,12,114.805508857,30.44902039
合肥,宣城,0,12,118.856128319,30.690931106
济南,威海,0,12,121.982230785,37.1191305819
成都,遂宁,0,11,105.470484465,30.6311127344
长沙,郴州,0,11,113.134839925,25.8116998935
温州,丽水,0,11,119.510527575,28.1982961548
郑州,平顶山,0,11,113.014207438,33.7968717013
乌鲁木齐,阿克苏地区,0,11,,
南宁,防城港,0,11,108.002509665,21.8822387144
大连,盘锦,0,11,121.99780925,41.082524232
郑州,新乡,0,11,114.092211697,35.2670772631
哈尔滨,佳木斯,0,10,132.200214943,47.255087237
沈阳,抚顺,0,10,124.653898593,41.8327974774
福州,莆田,0,10,118.879674516,25.4571400714
南宁,北海,0,10,109.335612571,21.6793992485
北京,福州,1,10,119.156889973,26.0641963059
郑州,南阳,0,10,112.286515719,33.0462533589
上海,泰州,1,9,120.05755184,32.295852384
长沙,湘西土家族苗族自治州,0,9,,
长沙,衡阳,0,9,112.573420211,26.7925301314
湖州,亳州,0,9,116.182133908,33.4325380314
杭州,营口,0,9,122.487313407,40.3597557385
北京,海口,1,9,110.425851879,19.8310955934
常州,甘孜藏族自治州,0,9,,
北京,西宁,1,9,101.451113542,36.8142937624
哈尔滨,绥化,0,9,126.616087847,46.890019373
长沙,株洲,0,9,113.519552948,27.1163929922
南宁,桂林,0,8,110.511766561,25.3519452869
贵阳,遵义,0,8,107.086352088,28.1676619107
广州,肇庆,0,8,112.202555079,23.5397260823
乌鲁木齐,阿勒泰地区,0,8,,
贵阳,黔西南布依族苗族自治州,0,8,,
银川,石嘴山,0,8,106.517788673,38.9755007252
佛山,江门,0,8,112.667787985,22.2980836353
广州,江门,0,8,112.667787985,22.2980836353
长沙,怀化,0,8,110.069225757,27.5427297621
呼和浩特,巴彦淖尔,0,8,107.564661657,41.5878397003
北京,山南地区,1,8,,
长沙,岳阳,0,8,113.255373328,29.06454046
沈阳,阜新,0,8,121.959474454,42.2856981048
郑州,驻马店,0,8,114.148797271,32.9243766426
潍坊,枣庄,0,7,117.310288282,35.0325600892
长沙,湘潭,0,7,112.530368577,27.7049103307
西安,渭南,0,7,109.856936314,34.9518234916
郑州,三门峡,0,7,110.760616888,34.2297321142
太原,临汾,0,7,111.374331297,36.2353877293
北京,贵阳,1,7,106.707306335,26.8429934259
合肥,阜阳,0,7,115.701807911,32.9158627496
上海,中山,1,7,113.389491138,22.5221140275
合肥,马鞍山,0,6,118.613763467,31.5323778572
成都,泸州,0,6,105.462113801,28.5508654308
西宁,海东地区,0,6,,
泉州,三明,0,6,117.397600532,26.2993359511
成都,巴中,0,6,107.038188833,32.0155969603
成都,攀枝花,0,6,101.731413397,26.8061938317
太原,晋中,0,6,112.961855815,37.3279302446
西安,宝鸡,0,6,107.201963817,34.3783133934
贵阳,黔南布依族苗族自治州,0,6,,
太原,吕梁,0,6,111.262529043,37.6767890314
深圳,河源,1,6,114.957578127,24.041916141
北京,许昌,1,6,113.709213472,34.0727649921
长沙,邵阳,0,6,110.915650898,26.8726168321
长沙,永州,0,6,111.769541227,25.6908733976
南宁,贵港,0,6,109.998175606,23.3100315884
昆明,曲靖,0,6,103.93895161,25.7013209994
厦门,龙岩,0,6,116.739194013,25.2920661556
潍坊,临沂,0,5,118.279789444,35.3092645187
青岛,临沂,0,5,118.279789444,35.3092645187
太原,忻州,0,5,112.43027139,38.6914375116
南宁,梧州,0,5,110.97337166,23.2002931144
南昌,抚州,0,5,116.433348614,27.5092972994
金华,抚州,0,5,116.433348614,27.5092972994
兰州,天水,0,5,105.740149962,34.6504716072
烟台,德州,0,5,116.64541331,37.244336402
济南,德州,0,5,116.64541331,37.244336402
南京,连云港,0,5,119.131887634,34.5329086065
南京,扬州,0,5,119.471409838,32.7375896346
上海,扬州,1,5,119.471409838,32.7375896346
宁波,舟山,0,5,122.13917249,30.0553941995
呼和浩特,包头,0,5,110.218042216,41.6418500189
莆田,海西蒙古族藏族自治州,0,5,,
哈尔滨,双鸭山,0,5,132.144828937,46.3072456498
哈尔滨,黑河,0,5,126.996351701,49.2530986124
北京,大庆,1,5,124.317028033,46.527882805
北京,丹东,1,5,124.406588969,40.5485906661
西安,铜川,0,5,109.175338575,35.2981214087
泉州,商丘,0,5,115.699500504,34.2909714488
济南,菏泽,0,5,115.689680141,35.1533992642
杭州,衢州,0,5,118.677516799,28.9340789716
济南,淄博,0,5,118.010500338,36.5914699701
长春,松原,0,5,124.475153872,44.8001982261
成都,凉山彝族自治州,0,5,,
成都,广安,0,5,106.663515367,30.4249383604
广州,云浮,0,5,111.791609466,22.8645994249
郑州,安阳,0,5,114.636913626,35.4832428865
深圳,吉安,1,5,114.822849138,26.9730002281
上海,宿州,1,4,117.212164673,33.859664667
合肥,宿州,0,4,117.212164673,33.859664667
北京,锦州,1,4,122.1276071,41.7056938843
丹东,锦州,0,4,122.1276071,41.7056938843
长沙,益阳,0,4,111.808649049,28.3334333691
北京,陇南,1,4,105.209135288,33.5938826196
运城,陇南,0,4,105.209135288,33.5938826196
北京,葫芦岛,1,4,120.192864003,40.6261741141
西安,汉中,0,4,107.104140807,33.0889083557
西安,榆林,0,4,109.553991328,38.0379812098
伊犁哈萨克自治州,日照,0,4,119.134088275,35.5841759127
长沙,娄底,0,4,111.208381843,27.8588837544
北京,安庆,1,4,116.594268791,30.6106751261
合肥,安庆,0,4,116.594268791,30.6106751261
东莞,鄂尔多斯,0,4,108.618593771,39.4092533576
平顶山,辽阳,0,4,123.411641921,41.1253950951
广州,清远,0,4,112.875910188,24.3114647761
常州,张掖,0,4,99.90171985,38.9235853398
成都,内江,0,4,104.907948563,29.6411079391
昆明,德宏傣族景颇族自治州,0,4,,
昆明,昭通,0,4,103.998145486,27.6525864948
昆明,楚雄彝族自治州,0,4,,
沈阳,朝阳,0,4,120.009996791,41.5103736995
沈阳,本溪,0,4,124.077613678,41.1907857988
成都,资阳,0,4,104.953340591,30.1802755486
成都,达州,0,4,107.64272373,31.3639402446
成都,阿坝藏族羌族自治州,0,4,,
合肥,蚌埠,0,4,117.327663746,33.1119871271
哈尔滨,大兴安岭地区,0,4,,
南宁,贺州,0,4,111.360036634,24.3588162268
南宁,河池,0,4,107.840098932,24.6445183862
大连,鞍山,0,4,123.311254248,40.4244897423
