投资方所在城市,融资方所在城市,阵营,投资企业对数,经度,纬度
北京,上海,1,2952,121.404084553,31.0844617511
上海,北京,1,2728,116.409349256,40.1841180253
北京,深圳,1,2666,113.981097454,22.6612174267
北京,天津,1,2099,117.332394543,39.3085542563
北京,宁波,1,1459,121.462283516,29.7195882339
上海,杭州,1,1314,119.484701009,29.9049798065
上海,苏州,1,1279,120.64180324,31.3759706021
北京,嘉兴,1,1028,120.753919978,30.654868568
深圳,广州,1,951,113.535309762,23.3572458759
北京,成都,1,950,103.501067544,30.5086877776
北京,青岛,1,630,120.143935648,36.456032729
上海,南京,1,623,118.842463658,31.9287592963
北京,武汉,1,549,114.338092289,30.6256542221
杭州,湖州,0,536,119.871227322,30.74619674
北京,郑州,1,522,113.471850802,34.6263627848
福州,南平,0,495,118.143817602,27.3394707962
北京,伊犁哈萨克自治州,1,448,,
北京,西安,1,445,108.789503511,34.1107819802
深圳,珠海,1,431,113.251442783,22.1619886251
北京,长沙,1,419,113.152959363,28.2295131059
北京,济南,1,399,117.08325858,36.7325316169
北京,石家庄,1,391,114.44284612,38.1289585008
深圳,东莞,1,387,113.877717876,22.9852478082
上海,无锡,1,369,120.351629529,31.6615440474
北京,沈阳,1,334,123.136692183,42.093659482
上海,南通,1,314,120.996756876,32.1893721211
北京,烟台,1,312,120.805459739,37.2364773878
厦门,三明,0,309,117.397600532,26.2993359511
北京,拉萨,1,306,91.1028799309,30.0334521208
北京,合肥,1,303,117.286266302,31.9771580754
深圳,惠州,1,294,114.497757221,23.2450284889
北京,大连,1,290,122.219575666,39.6124317573
北京,厦门,1,282,118.110687591,24.6830448658
北京,重庆,1,277,107.864385258,30.0553736852
北京,廊坊,1,275,116.535844506,39.1117554763
北京,太原,1,267,112.314062259,37.9595409573
北京,哈尔滨,1,262,127.962992428,45.6369913133
厦门,泉州,0,251,118.255654583,25.211170451
北京,昆明,1,239,102.875102299,25.3852977816
北京,保定,1,226,115.168613586,39.0222939691
上海,新余,1,224,114.851202951,27.8472307759
杭州,金华,0,222,119.954268808,29.1164535388
杭州,绍兴,0,218,120.628874142,29.7126723592
北京,芜湖,1,217,118.326617536,31.0667366723
北京,唐山,1,198,118.340532724,39.7358857445
北京,长春,1,193,125.766739888,44.3768728237
北京,海口,1,183,110.425851879,19.8310955934
上海,镇江,1,182,119.481985492,32.0667749698
北京,福州,1,181,119.156889973,26.0641963059
上海,常州,1,176,119.679057019,31.6925543935
上海,温州,1,174,120.010122334,27.6625993395
