source,target,weight
肇庆,深圳,0.0006201935003721161
威海,深圳,0.0012403870007442323
荆州,深圳,0.0
郴州,深圳,0.0008682709005209626
河源,深圳,0.0008682709005209626
宁德,深圳,0.00012403870007442322
梅州,深圳,0.0006201935003721161
韶关,深圳,0.00024807740014884643
潮州,深圳,0.00024807740014884643
莆田,深圳,0.00012403870007442322
南阳,深圳,0.0
邵阳,深圳,0.0
贵港,深圳,0.00012403870007442322
朔州,深圳,0.0
北京,天津,0.6027040436616224
上海,天津,0.1223021582733813
深圳,天津,0.06685685934011412
广州,天津,0.009799057305879435
杭州,天津,0.011659637806995783
苏州,天津,0.004093277102455967
宁波,天津,0.005209625403125776
拉萨,天津,0.004465393202679236
南京,天津,0.0019846192011907715
成都,天津,0.0021086579012651947
无锡,天津,0.0021086579012651947
重庆,天津,0.00037211610022326965
嘉兴,天津,0.0017365418010419251
厦门,天津,0.0009923096005953857
武汉,天津,0.004093277102455967
郑州,天津,0.0013644257008186553
石家庄,天津,0.003969238402381543
珠海,天津,0.00024807740014884643
济南,天津,0.00024807740014884643
青岛,天津,0.0016125031009675019
西安,天津,0.00037211610022326965
长沙,天津,0.00012403870007442322
合肥,天津,0.00024807740014884643
大连,天津,0.002976928801786157
佛山,天津,0.0004961548002976929
常州,天津,0.00012403870007442322
银川,天津,0.0004961548002976929
乌鲁木齐,天津,0.0014884644008930786
新余,天津,0.00012403870007442322
沈阳,天津,0.0016125031009675019
太原,天津,0.0012403870007442323
金华,天津,0.0008682709005209626
廊坊,天津,0.0006201935003721161
昆明,天津,0.0006201935003721161
长春,天津,0.00024807740014884643
唐山,天津,0.0017365418010419251
贵阳,天津,0.00012403870007442322
包头,天津,0.0
湘潭,天津,0.00012403870007442322
连云港,天津,0.0
三亚,天津,0.00012403870007442322
白城,天津,0.0016125031009675019
济宁,天津,0.0006201935003721161
衡水,天津,0.0
北京,宁波,0.31530637558918384
上海,宁波,0.30960059538576035
深圳,宁波,0.1153559910692136
广州,宁波,0.005209625403125776
天津,宁波,0.028032746216819646
杭州,宁波,0.18556189531133713
苏州,宁波,0.009923096005953858
拉萨,宁波,0.021706772513024063
南京,宁波,0.006201935003721161
东莞,宁波,0.00012403870007442322
成都,宁波,0.006077896303646738
福州,宁波,0.006077896303646738
无锡,宁波,0.003349044902009427
重庆,宁波,0.0018605805011163482
嘉兴,宁波,0.007070205904242123
厦门,宁波,0.0023567353014140413
武汉,宁波,0.005085586703051352
郑州,宁波,0.0023567353014140413
石家庄,宁波,0.0017365418010419251
珠海,宁波,0.005705780203423468
济南,宁波,0.002976928801786157
青岛,宁波,0.0018605805011163482
西安,宁波,0.002976928801786157
长沙,宁波,0.00012403870007442322
合肥,宁波,0.002232696601339618
大连,宁波,0.0014884644008930786
南通,宁波,0.00037211610022326965
绍兴,宁波,0.0064500124038700075
温州,宁波,0.0014884644008930786
佛山,宁波,0.0013644257008186553
银川,宁波,0.0004961548002976929
乌鲁木齐,宁波,0.0008682709005209626
湖州,宁波,0.0024807740014884646
南昌,宁波,0.0019846192011907715
哈尔滨,宁波,0.0012403870007442323
新余,宁波,0.00037211610022326965
沈阳,宁波,0.0007442322004465393
海口,宁波,0.0006201935003721161
太原,宁波,0.0027288514016373107
金华,宁波,0.0017365418010419251
中山,宁波,0.0006201935003721161
汕头,宁波,0.00012403870007442322
台州,宁波,0.0018605805011163482
舟山,宁波,0.001116348300669809
九江,宁波,0.00024807740014884643
烟台,宁波,0.0007442322004465393
贵阳,宁波,0.0004961548002976929
宜春,宁波,0.00024807740014884643
扬州,宁波,0.0
鄂尔多斯,宁波,0.0014884644008930786
西宁,宁波,0.00024807740014884643
徐州,宁波,0.00024807740014884643
株洲,宁波,0.00037211610022326965
菏泽,宁波,0.00012403870007442322
临汾,宁波,0.00012403870007442322
北京,成都,0.28069957826841974
上海,成都,0.13532622178119574
深圳,成都,0.12403870007442322
广州,成都,0.021830811213098485
天津,成都,0.0075663607045398165
杭州,成都,0.017737534110642522
苏州,成都,0.006077896303646738
宁波,成都,0.006077896303646738
拉萨,成都,0.021210617712726372
南京,成都,0.006077896303646738
东莞,成都,0.0006201935003721161
无锡,成都,0.0016125031009675019
重庆,成都,0.04217315802530389
嘉兴,成都,0.004093277102455967
厦门,成都,0.0012403870007442323
武汉,成都,0.005457702803274621
郑州,成都,0.00037211610022326965
珠海,成都,0.0019846192011907715
济南,成都,0.00024807740014884643
青岛,成都,0.0013644257008186553
西安,成都,0.0042173158025303895
长沙,成都,0.001116348300669809
合肥,成都,0.00012403870007442322
常州,成都,0.0009923096005953857
乌鲁木齐,成都,0.0004961548002976929
哈尔滨,成都,0.00012403870007442322
新余,成都,0.0016125031009675019
昆明,成都,0.0024807740014884646
长春,成都,0.0014884644008930786
台州,成都,0.0
贵阳,成都,0.0018605805011163482
达州,成都,0.009178863805507318
