投资方所在城市,融资方所在城市,投资企业对数,lng_tz,lat_tz,lng_rz,lat_rz
株洲,上海,4,113.519552948,27.1163929922,121.404084553,31.0844617511
宿迁,上海,4,118.518044118,33.7845818342,121.404084553,31.0844617511
泸州,上海,10,105.462113801,28.5508654308,121.404084553,31.0844617511
岳阳,上海,3,113.255373328,29.06454046,121.404084553,31.0844617511
吉林,上海,4,126.841290435,43.5774601864,121.404084553,31.0844617511
蚌埠,上海,11,117.327663746,33.1119871271,121.404084553,31.0844617511
周口,上海,13,114.878292807,33.724344276,121.404084553,31.0844617511
威海,上海,9,121.982230785,37.1191305819,121.404084553,31.0844617511
通辽,上海,8,121.577319554,43.8189888688,121.404084553,31.0844617511
衢州,上海,5,118.677516799,28.9340789716,121.404084553,31.0844617511
许昌,上海,10,113.709213472,34.0727649921,121.404084553,31.0844617511
云浮,上海,11,111.791609466,22.8645994249,121.404084553,31.0844617511
黄山,上海,11,118.077165369,29.9060894539,121.404084553,31.0844617511
伊春,上海,3,129.199228418,47.7996576757,121.404084553,31.0844617511
漯河,上海,9,113.902628459,33.6568181728,121.404084553,31.0844617511
菏泽,上海,9,115.689680141,35.1533992642,121.404084553,31.0844617511
潮州,上海,4,116.768450527,23.7984986229,121.404084553,31.0844617511
怀化,上海,7,110.069225757,27.5427297621,121.404084553,31.0844617511
景德镇,上海,5,117.269337981,29.3071248951,121.404084553,31.0844617511
北京,深圳,6467,116.409349256,40.1841180253,113.981097454,22.6612174267
上海,深圳,3580,121.404084553,31.0844617511,113.981097454,22.6612174267
广州,深圳,3324,113.535309762,23.3572458759,113.981097454,22.6612174267
天津,深圳,571,117.332394543,39.3085542563,113.981097454,22.6612174267
杭州,深圳,527,119.484701009,29.9049798065,113.981097454,22.6612174267
苏州,深圳,232,120.64180324,31.3759706021,113.981097454,22.6612174267
宁波,深圳,177,121.462283516,29.7195882339,113.981097454,22.6612174267
拉萨,深圳,229,91.1028799309,30.0334521208,113.981097454,22.6612174267
南京,深圳,251,118.842463658,31.9287592963,113.981097454,22.6612174267
东莞,深圳,776,113.877717876,22.9852478082,113.981097454,22.6612174267
成都,深圳,508,103.501067544,30.5086877776,113.981097454,22.6612174267
福州,深圳,123,119.156889973,26.0641963059,113.981097454,22.6612174267
无锡,深圳,44,120.351629529,31.6615440474,113.981097454,22.6612174267
重庆,深圳,448,107.864385258,30.0553736852,113.981097454,22.6612174267
嘉兴,深圳,83,120.753919978,30.654868568,113.981097454,22.6612174267
厦门,深圳,246,118.110687591,24.6830448658,113.981097454,22.6612174267
武汉,深圳,385,114.338092289,30.6256542221,113.981097454,22.6612174267
郑州,深圳,239,113.471850802,34.6263627848,113.981097454,22.6612174267
石家庄,深圳,48,114.44284612,38.1289585008,113.981097454,22.6612174267
珠海,深圳,375,113.251442783,22.1619886251,113.981097454,22.6612174267
济南,深圳,47,117.08325858,36.7325316169,113.981097454,22.6612174267
青岛,深圳,114,120.143935648,36.456032729,113.981097454,22.6612174267
西安,深圳,214,108.789503511,34.1107819802,113.981097454,22.6612174267
长沙,深圳,337,113.152959363,28.2295131059,113.981097454,22.6612174267
合肥,深圳,69,117.286266302,31.9771580754,113.981097454,22.6612174267
大连,深圳,106,122.219575666,39.6124317573,113.981097454,22.6612174267
惠州,深圳,299,114.497757221,23.2450284889,113.981097454,22.6612174267
南通,深圳,26,120.996756876,32.1893721211,113.981097454,22.6612174267
绍兴,深圳,7,120.628874142,29.7126723592,113.981097454,22.6612174267
温州,深圳,16,120.010122334,27.6625993395,113.981097454,22.6612174267
佛山,深圳,240,112.94508169,23.0127749858,113.981097454,22.6612174267
常州,深圳,57,119.679057019,31.6925543935,113.981097454,22.6612174267
银川,深圳,20,106.341244948,38.2192835973,113.981097454,22.6612174267
乌鲁木齐,深圳,68,87.8094631006,43.5313046469,113.981097454,22.6612174267
湖州,深圳,10,119.871227322,30.74619674,113.981097454,22.6612174267
南昌,深圳,119,116.024443256,28.6633621609,113.981097454,22.6612174267
哈尔滨,深圳,67,127.962992428,45.6369913133,113.981097454,22.6612174267
新余,深圳,89,114.851202951,27.8472307759,113.981097454,22.6612174267
泉州,深圳,39,118.255654583,25.211170451,113.981097454,22.6612174267
沈阳,深圳,29,123.136692183,42.093659482,113.981097454,22.6612174267
海口,深圳,96,110.425851879,19.8310955934,113.981097454,22.6612174267
太原,深圳,35,112.314062259,37.9595409573,113.981097454,22.6612174267
金华,深圳,24,119.954268808,29.1164535388,113.981097454,22.6612174267
南宁,深圳,77,108.464015667,23.0584134307,113.981097454,22.6612174267
廊坊,深圳,4,116.535844506,39.1117554763,113.981097454,22.6612174267
昆明,深圳,154,102.875102299,25.3852977816,113.981097454,22.6612174267
长春,深圳,128,125.766739888,44.3768728237,113.981097454,22.6612174267
中山,深圳,97,113.389491138,22.5221140275,113.981097454,22.6612174267
汕头,深圳,120,116.555530272,23.330681385,113.981097454,22.6612174267
台州,深圳,9,121.089649417,28.7920082915,113.981097454,22.6612174267
镇江,深圳,13,119.481985492,32.0667749698,113.981097454,22.6612174267
九江,深圳,20,115.437787326,29.3279801382,113.981097454,22.6612174267
唐山,深圳,10,118.340532724,39.7358857445,113.981097454,22.6612174267
潍坊,深圳,6,119.075691601,36.536594451,113.981097454,22.6612174267
烟台,深圳,9,120.805459739,37.2364773878,113.981097454,22.6612174267
贵阳,深圳,25,106.707306335,26.8429934259,113.981097454,22.6612174267
抚州,深圳,5,116.433348614,27.5092972994,113.981097454,22.6612174267
泰州,深圳,3,120.05755184,32.295852384,113.981097454,22.6612174267
宜春,深圳,38,115.061146398,28.5700976185,113.981097454,22.6612174267
兰州,深圳,14,103.638543494,36.3489055767,113.981097454,22.6612174267
芜湖,深圳,16,118.326617536,31.0667366723,113.981097454,22.6612174267
呼和浩特,深圳,4,111.399370918,40.5810079565,113.981097454,22.6612174267
上饶,深圳,6,117.9497646,28.7600838811,113.981097454,22.6612174267
吉安,深圳,5,114.822849138,26.9730002281,113.981097454,22.6612174267
盐城,深圳,5,120.175286224,33.5153555609,113.981097454,22.6612174267
绵阳,深圳,4,104.705358137,31.8468625936,113.981097454,22.6612174267
包头,深圳,4,110.218042216,41.6418500189,113.981097454,22.6612174267
漳州,深圳,11,117.441200797,24.3831962252,113.981097454,22.6612174267
洛阳,深圳,6,112.02422841,34.2862770095,113.981097454,22.6612174267
邯郸,深圳,3,114.54555308,36.5509236328,113.981097454,22.6612174267
萍乡,深圳,25,113.900285648,27.5155162634,113.981097454,22.6612174267
襄阳,深圳,3,111.93766036,31.9344507749,113.981097454,22.6612174267
徐州,深圳,3,117.480705662,34.2587766939,113.981097454,22.6612174267
保山,深圳,21,98.9725729865,24.9790540142,113.981097454,22.6612174267
淮安,深圳,19,118.961844937,33.3561516982,113.981097454,22.6612174267
揭阳,深圳,19,116.116729307,23.3375364966,113.981097454,22.6612174267
桂林,深圳,4,110.511766561,25.3519452869,113.981097454,22.6612174267
济宁,深圳,4,116.67539172,35.3785473334,113.981097454,22.6612174267
泰安,深圳,16,117.035710843,36.0009861365,113.981097454,22.6612174267
江门,深圳,16,112.667787985,22.2980836353,113.981097454,22.6612174267
赣州,深圳,16,115.270276386,25.7067696556,113.981097454,22.6612174267
清远,深圳,4,112.875910188,24.3114647761,113.981097454,22.6612174267
